Disparity of Point  9482 =  (1063, 127) = 28
Disparity of Point  9483 =  (1063, 127) = 28
Disparity of Point  9649 =  (747, 130) = 27
Disparity of Point  9650 =  (747, 130) = 27
Disparity of Point  9917 =  (738, 133) = 27
Disparity of Point  9918 =  (738, 133) = 27
Disparity of Point  10011 =  (721, 134) = 24
Disparity of Point  10102 =  (717, 135) = 24
Disparity of Point  10226 =  (906, 136) = 18
Disparity of Point  10227 =  (906, 136) = 18
Disparity of Point  10299 =  (906, 137) = 18
Disparity of Point  10370 =  (877, 138) = 16
Disparity of Point  10371 =  (877, 138) = 16
Disparity of Point  10372 =  (1064, 138) = 28
Disparity of Point  10373 =  (1064, 138) = 28
Disparity of Point  10419 =  (874, 139) = 16
Disparity of Point  10424 =  (1064, 139) = 28
Disparity of Point  10425 =  (1064, 139) = 28
Disparity of Point  10460 =  (723, 140) = 24
Disparity of Point  10484 =  (1064, 140) = 28
Disparity of Point  10485 =  (1064, 140) = 28
Disparity of Point  10547 =  (1064, 141) = 28
Disparity of Point  10548 =  (1064, 141) = 28
Disparity of Point  10595 =  (803, 142) = 12
Disparity of Point  10596 =  (803, 142) = 12
Disparity of Point  10597 =  (806, 142) = 12
Disparity of Point  10598 =  (806, 142) = 12
Disparity of Point  10608 =  (882, 142) = 17
Disparity of Point  10653 =  (646, 143) = 12
Disparity of Point  10654 =  (646, 143) = 12
Disparity of Point  10657 =  (648, 143) = 12
Disparity of Point  10658 =  (648, 143) = 12
Disparity of Point  10673 =  (823, 143) = 12
Disparity of Point  10674 =  (823, 143) = 12
Disparity of Point  10675 =  (861, 143) = 15
Disparity of Point  10676 =  (861, 143) = 15
Disparity of Point  10679 =  (878, 143) = 16
Disparity of Point  10687 =  (1124, 143) = 28
Disparity of Point  10688 =  (1124, 143) = 28
Disparity of Point  10724 =  (650, 144) = 12
Disparity of Point  10747 =  (823, 144) = 12
Disparity of Point  10748 =  (823, 144) = 12
Disparity of Point  10749 =  (852, 144) = 15
Disparity of Point  10756 =  (882, 144) = 17
Disparity of Point  10757 =  (882, 144) = 17
Disparity of Point  10805 =  (646, 145) = 12
Disparity of Point  10827 =  (823, 145) = 12
Disparity of Point  10828 =  (823, 145) = 12
Disparity of Point  10831 =  (852, 145) = 15
Disparity of Point  10832 =  (852, 145) = 15
Disparity of Point  10899 =  (721, 146) = 24
Disparity of Point  10900 =  (721, 146) = 24
Disparity of Point  10923 =  (861, 146) = 15
Disparity of Point  10924 =  (861, 146) = 15
Disparity of Point  10936 =  (877, 146) = 16
Disparity of Point  10937 =  (877, 146) = 16
Disparity of Point  10938 =  (878, 146) = 16
Disparity of Point  10939 =  (878, 146) = 16
Disparity of Point  10940 =  (1064, 146) = 28
Disparity of Point  10948 =  (411, 147) = 10
Disparity of Point  10949 =  (411, 147) = 10
Disparity of Point  10952 =  (435, 147) = 14
Disparity of Point  10953 =  (435, 147) = 14
Disparity of Point  11003 =  (722, 147) = 24
Disparity of Point  11014 =  (803, 147) = 12
Disparity of Point  11015 =  (803, 147) = 12
Disparity of Point  11016 =  (806, 147) = 12
Disparity of Point  11017 =  (806, 147) = 12
Disparity of Point  11018 =  (823, 147) = 12
Disparity of Point  11019 =  (823, 147) = 12
Disparity of Point  11022 =  (861, 147) = 15
Disparity of Point  11023 =  (861, 147) = 15
Disparity of Point  11024 =  (863, 147) = 15
Disparity of Point  11025 =  (863, 147) = 15
Disparity of Point  11051 =  (481, 148) = 6
Disparity of Point  11052 =  (481, 148) = 6
Disparity of Point  11053 =  (483, 148) = 6
Disparity of Point  11054 =  (483, 148) = 6
Disparity of Point  11055 =  (484, 148) = 6
Disparity of Point  11056 =  (484, 148) = 6
Disparity of Point  11092 =  (680, 148) = 5
Disparity of Point  11093 =  (682, 148) = 5
Disparity of Point  11094 =  (682, 148) = 5
Disparity of Point  11095 =  (684, 148) = 5
Disparity of Point  11096 =  (684, 148) = 5
Disparity of Point  11097 =  (687, 148) = 5
Disparity of Point  11098 =  (687, 148) = 5
Disparity of Point  11099 =  (722, 148) = 24
Disparity of Point  11100 =  (722, 148) = 24
Disparity of Point  11103 =  (754, 148) = 9
Disparity of Point  11104 =  (754, 148) = 9
Disparity of Point  11115 =  (803, 148) = 12
Disparity of Point  11116 =  (803, 148) = 12
Disparity of Point  11119 =  (823, 148) = 12
Disparity of Point  11120 =  (823, 148) = 12
Disparity of Point  11122 =  (861, 148) = 15
Disparity of Point  11140 =  (1057, 148) = 27
Disparity of Point  11141 =  (1057, 148) = 27
Disparity of Point  11146 =  (408, 149) = 10
Disparity of Point  11212 =  (806, 149) = 12
Disparity of Point  11213 =  (806, 149) = 12
Disparity of Point  11214 =  (823, 149) = 12
Disparity of Point  11215 =  (823, 149) = 12
Disparity of Point  11230 =  (403, 150) = 10
Disparity of Point  11233 =  (411, 150) = 10
Disparity of Point  11234 =  (412, 150) = 10
Disparity of Point  11295 =  (803, 150) = 12
Disparity of Point  11296 =  (803, 150) = 12
Disparity of Point  11297 =  (823, 150) = 12
Disparity of Point  11298 =  (823, 150) = 12
Disparity of Point  11301 =  (1039, 150) = 26
Disparity of Point  11302 =  (1039, 150) = 26
Disparity of Point  11312 =  (1061, 150) = 28
Disparity of Point  11313 =  (1061, 150) = 28
Disparity of Point  11314 =  (1062, 150) = 28
Disparity of Point  11322 =  (405, 151) = 10
Disparity of Point  11323 =  (405, 151) = 10
Disparity of Point  11326 =  (407, 151) = 10
Disparity of Point  11327 =  (407, 151) = 10
Disparity of Point  11328 =  (407, 151) = 10
Disparity of Point  11329 =  (412, 151) = 10
Disparity of Point  11330 =  (413, 151) = 10
Disparity of Point  11331 =  (413, 151) = 10
Disparity of Point  11355 =  (679, 151) = 5
Disparity of Point  11356 =  (679, 151) = 5
Disparity of Point  11357 =  (682, 151) = 5
Disparity of Point  11358 =  (682, 151) = 5
Disparity of Point  11359 =  (684, 151) = 5
Disparity of Point  11360 =  (684, 151) = 5
Disparity of Point  11373 =  (803, 151) = 12
Disparity of Point  11374 =  (803, 151) = 12
Disparity of Point  11390 =  (852, 151) = 15
Disparity of Point  11391 =  (852, 151) = 15
Disparity of Point  11410 =  (1052, 151) = 27
Disparity of Point  11411 =  (1055, 151) = 27
Disparity of Point  11412 =  (1056, 151) = 27
Disparity of Point  11421 =  (382, 152) = 8
Disparity of Point  11433 =  (463, 152) = 6
Disparity of Point  11434 =  (463, 152) = 6
Disparity of Point  11436 =  (469, 152) = 6
Disparity of Point  11437 =  (469, 152) = 6
Disparity of Point  11440 =  (476, 152) = 6
Disparity of Point  11441 =  (486, 152) = 6
Disparity of Point  11442 =  (486, 152) = 6
Disparity of Point  11461 =  (626, 152) = 5
Disparity of Point  11462 =  (626, 152) = 5
Disparity of Point  11467 =  (682, 152) = 5
Disparity of Point  11468 =  (682, 152) = 5
Disparity of Point  11469 =  (684, 152) = 5
Disparity of Point  11470 =  (684, 152) = 5
Disparity of Point  11486 =  (803, 152) = 12
Disparity of Point  11487 =  (803, 152) = 12
Disparity of Point  11488 =  (823, 152) = 12
Disparity of Point  11489 =  (824, 152) = 12
Disparity of Point  11492 =  (826, 152) = 12
Disparity of Point  11493 =  (826, 152) = 12
Disparity of Point  11515 =  (1051, 152) = 27
Disparity of Point  11516 =  (1055, 152) = 27
Disparity of Point  11517 =  (1055, 152) = 27
Disparity of Point  11518 =  (1063, 152) = 28
Disparity of Point  11532 =  (441, 153) = 14
Disparity of Point  11533 =  (441, 153) = 14
Disparity of Point  11534 =  (467, 153) = 6
Disparity of Point  11558 =  (679, 153) = 5
Disparity of Point  11559 =  (679, 153) = 5
Disparity of Point  11560 =  (682, 153) = 5
Disparity of Point  11561 =  (684, 153) = 5
Disparity of Point  11562 =  (684, 153) = 5
Disparity of Point  11571 =  (849, 153) = 15
Disparity of Point  11572 =  (850, 153) = 15
Disparity of Point  11579 =  (1020, 153) = 25
Disparity of Point  11580 =  (1020, 153) = 25
Disparity of Point  11581 =  (1021, 153) = 25
Disparity of Point  11582 =  (1021, 153) = 25
Disparity of Point  11583 =  (1022, 153) = 25
Disparity of Point  11584 =  (1022, 153) = 25
Disparity of Point  11585 =  (1023, 153) = 25
Disparity of Point  11586 =  (1023, 153) = 25
Disparity of Point  11587 =  (1024, 153) = 25
Disparity of Point  11588 =  (1024, 153) = 25
Disparity of Point  11592 =  (1055, 153) = 27
Disparity of Point  11593 =  (1055, 153) = 27
Disparity of Point  11600 =  (431, 154) = 9
Disparity of Point  11601 =  (431, 154) = 9
Disparity of Point  11616 =  (497, 154) = 8
Disparity of Point  11617 =  (497, 154) = 8
Disparity of Point  11620 =  (515, 154) = 8
Disparity of Point  11621 =  (515, 154) = 8
Disparity of Point  11622 =  (519, 154) = 7
Disparity of Point  11623 =  (519, 154) = 7
Disparity of Point  11624 =  (519, 154) = 7
Disparity of Point  11629 =  (635, 154) = 7
Disparity of Point  11630 =  (636, 154) = 7
Disparity of Point  11632 =  (680, 154) = 5
Disparity of Point  11633 =  (680, 154) = 5
Disparity of Point  11643 =  (853, 154) = 15
Disparity of Point  11644 =  (853, 154) = 15
Disparity of Point  11663 =  (1038, 154) = 26
Disparity of Point  11664 =  (1051, 154) = 27
Disparity of Point  11669 =  (384, 155) = 8
Disparity of Point  11670 =  (384, 155) = 8
Disparity of Point  11679 =  (430, 155) = 9
Disparity of Point  11680 =  (430, 155) = 9
Disparity of Point  11684 =  (463, 155) = 6
Disparity of Point  11685 =  (463, 155) = 6
Disparity of Point  11686 =  (464, 155) = 6
Disparity of Point  11687 =  (464, 155) = 6
Disparity of Point  11688 =  (465, 155) = 6
Disparity of Point  11689 =  (465, 155) = 6
Disparity of Point  11690 =  (477, 155) = 6
Disparity of Point  11691 =  (477, 155) = 6
Disparity of Point  11692 =  (479, 155) = 6
Disparity of Point  11693 =  (479, 155) = 6
Disparity of Point  11722 =  (635, 155) = 7
Disparity of Point  11723 =  (635, 155) = 7
Disparity of Point  11727 =  (680, 155) = 5
Disparity of Point  11728 =  (680, 155) = 5
Disparity of Point  11729 =  (684, 155) = 5
Disparity of Point  11736 =  (758, 155) = 9
Disparity of Point  11737 =  (758, 155) = 9
Disparity of Point  11745 =  (976, 155) = 22
Disparity of Point  11746 =  (976, 155) = 22
Disparity of Point  11747 =  (977, 155) = 22
Disparity of Point  11748 =  (977, 155) = 22
Disparity of Point  11749 =  (978, 155) = 22
Disparity of Point  11752 =  (1006, 155) = 24
Disparity of Point  11753 =  (1006, 155) = 24
Disparity of Point  11754 =  (1007, 155) = 24
Disparity of Point  11755 =  (1007, 155) = 24
Disparity of Point  11760 =  (1021, 155) = 25
Disparity of Point  11774 =  (1055, 155) = 27
Disparity of Point  11775 =  (1061, 155) = 28
Disparity of Point  11781 =  (391, 156) = 10
Disparity of Point  11782 =  (391, 156) = 10
Disparity of Point  11785 =  (394, 156) = 10
Disparity of Point  11786 =  (394, 156) = 10
Disparity of Point  11794 =  (497, 156) = 8
Disparity of Point  11795 =  (497, 156) = 8
Disparity of Point  11796 =  (497, 156) = 8
Disparity of Point  11799 =  (503, 156) = 7
Disparity of Point  11800 =  (504, 156) = 7
Disparity of Point  11801 =  (504, 156) = 7
Disparity of Point  11802 =  (505, 156) = 7
Disparity of Point  11803 =  (505, 156) = 7
Disparity of Point  11818 =  (619, 156) = 5
Disparity of Point  11829 =  (680, 156) = 5
Disparity of Point  11830 =  (680, 156) = 5
Disparity of Point  11831 =  (688, 156) = 5
Disparity of Point  11832 =  (688, 156) = 5
Disparity of Point  11833 =  (723, 156) = 24
Disparity of Point  11834 =  (723, 156) = 24
Disparity of Point  11835 =  (723, 156) = 24
Disparity of Point  11836 =  (724, 156) = 24
Disparity of Point  11837 =  (724, 156) = 24
Disparity of Point  11841 =  (758, 156) = 9
Disparity of Point  11842 =  (758, 156) = 9
